title,type,tmdb_score,popularity,vote_count,release_year,genre,original_language,production_countries,runtime,budget,revenue
Scavengers Reign,TV Show,8.6,6.8971,312,2023,"Sci-Fi & Fantasy, Drama, Animation",en,United States of America,0,0,0
Our Blues,TV Show,8.6,10.6001,65,2022,Drama,ko,South Korea,0,0,0
Stranger Things,TV Show,8.596,67.5615,18696,2016,"Drama, Sci-Fi & Fantasy, Mystery",en,United States of America,0,0,0
Scissor Seven,TV Show,8.588,11.2536,733,2018,"Animation, Comedy, Action & Adventure, Sci-Fi & Fantasy",zh,China,0,0,0
JUJUTSU KAISEN,TV Show,8.575,49.208,3941,2020,"Animation, Action & Adventure, Sci-Fi & Fantasy",ja,Japan,0,0,0
Band of Brothers,TV Show,8.574,13.8591,3863,2001,"Drama, War & Politics",en,United States of America,0,0,0
Love Untangled,Movie,8.569,56.5032,73,2025,"Romance, Drama, Comedy",ko,South Korea,121,0,0
Neon Genesis Evangelion,TV Show,8.565,15.3845,1901,1995,"Sci-Fi & Fantasy, Animation, Drama",ja,Japan,0,0,0
JoJo's Bizarre Adventure,TV Show,8.556,26.4554,1489,2012,"Animation, Action & Adventure, Sci-Fi & Fantasy",ja,Japan,0,0,0
Dr. STONE,TV Show,8.547,9.0086,1557,2019,"Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy",ja,"Japan, Vietnam",0,0,0
The Untamed,TV Show,8.538,7.4446,130,2019,"Action & Adventure, Drama, Mystery",zh,,0,0,0
Alchemy of Souls,TV Show,8.537,17.2131,709,2022,"Drama, Sci-Fi & Fantasy, Action & Adventure, Mystery",ko,South Korea,0,0,0
Monster,TV Show,8.535,10.2602,677,2004,"Animation, Drama, Crime, Mystery",ja,Japan,0,0,0
Peaky Blinders,TV Show,8.528,49.6395,10547,2013,"Drama, Crime",en,United Kingdom,0,0,0
Vincenzo,TV Show,8.524,9.2341,1018,2021,"Action & Adventure, Comedy, Drama",ko,South Korea,0,0,0
It's Okay to Not Be Okay,TV Show,8.519,7.1376,1409,2020,"Drama, Comedy",ko,South Korea,0,0,0
Crash Landing on You,TV Show,8.519,10.8194,835,2019,"Drama, Comedy",ko,South Korea,0,0,0
The Umbrella Academy,TV Show,8.5,9.7615,9728,2019,"Action & Adventure, Sci-Fi & Fantasy, Drama",en,"Canada, United States of America",0,0,0
